Model inputs,,,,,,,,,,,,,,,,,,,,,,
Latitude = 53.15283 deg,,,,,,,,,,,,,,,,,,,,,,
Longitude = 13.02655 deg,,,,,,,,,,,,,,,,,,,,,,
Lake depth = 4.5 m,,,,,,,,,,,,,,,,,,,,,,
Lake fetch = 4000 m,,,,,,,,,,,,,,,,,,,,,,
Extinction coefficient = 0.4,,,,,,,,,,,,,,,,,,,,,,
Initial surface temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial mixed layer thickness = 0 m,,,,,,,,,,,,,,,,,,,,,,
Initial mean temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial bottom temperature = 4 C,,,,,,,,,,,,,,,,,,,,,,
Initial ice thickness = 0 m,,,,,,,,,,,,,,,,,,,,,,
Perpetual-year simulation = No,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Results from FLAKE simulations.,,,,,,,,,,,,,,,,,,,,,,
Step (-),  Date (-),  Mixed-layer temperature (C),  Mean temperature of the water column (C),  Bottom temperature (C),Friction velocity in the surface air layer (m/s),  Friction velocity in the surface layer of lake water (m/s),  Convective velocity scale (m/s),Heat flux through the ice-water or air-water interface (W/m2),Sensible heat flux (W/m2),Latent heat flux (W/m2),Radiation flux through the ice-water or air-water interface (W/m2),Long-wave radiation flux from the atmosphere (W/m2),surface long-wave radiation flux (W/m2), Mixed-layer thickness (m),  Shape factor for thermocline (-),Thickness of the upper layer of the sediment (m),   Temperature at the bottom of the upper layer of the sediment (C),Heat flux through the water-bottom sediment interface (W /m2),  Ice thickness (m),  Snow thickness (m),Ice temperature (C), Snow temperature (C)
73,2017-11-19 06:00,1.55872,1.55872,1.55872,0.397892,1.41511E-02,6.54144E-04,-26.4312,50.6162,-8.58229,113.925,251.209,-319.674,4.50000,0.500000,1.18861,4.44960,-2.65591,0.00000,0.00000,0.00000,0.00000
74,2017-11-19 12:00,1.64022,1.64022,1.64022,0.434218,1.54406E-02,0.00000,-20.0602,50.9654,-9.32293,2.32500,258.351,-320.054,4.50000,0.500000,1.14817,4.46465,-2.68625,0.00000,0.00000,0.00000,0.00000
75,2017-11-19 18:00,1.62258,1.62258,1.62258,0.348730,1.24011E-02,0.00000,-61.0259,25.7041,-8.23965,0.00000,241.482,-319.972,4.50000,0.500000,1.15231,4.46310,-2.69184,0.00000,0.00000,0.00000,0.00000
76,2017-11-20 00:00,1.55592,1.55592,1.55592,0.243519,8.66082E-03,0.00000,-72.0014,15.1245,-6.35335,0.00000,238.889,-319.661,4.50000,0.500000,1.14279,4.46668,-2.78139,0.00000,0.00000,0.00000,0.00000
77,2017-11-20 06:00,1.47681,1.47681,1.47681,0.229312,8.15678E-03,0.00000,-50.5509,29.4161,-5.38464,111.600,244.711,-319.293,4.50000,0.500000,1.13020,4.47142,-2.89339,0.00000,0.00000,0.00000,0.00000
78,2017-11-20 12:00,1.52880,1.52880,1.52880,0.00000,7.82274E-05,0.00000,-76.2739,3.72722E-02,-8.23109E-03,0.00000,243.232,-319.535,4.50000,0.500000,1.08313,4.48922,-2.98467,0.00000,0.00000,0.00000,0.00000
79,2017-11-20 18:00,1.38760,1.44504,1.52880,0.00000,5.03445E-05,0.00000,-78.9237,2.63391E-02,-6.5767E-03,0.00000,239.935,-318.879,0.838732,0.500000,1.09528,4.48457,-2.94692,0.00000,0.00000,0.00000,0.00000
80,2017-11-21 00:00,1.20824,1.35821,1.52880,0.00000,5.21046E-05,0.00000,-77.3986,3.18231E-02,-4.76151E-03,0.00000,240.621,-318.046,0.289347,0.500000,1.10727,4.48000,-2.91049,0.00000,0.00000,0.00000,0.00000
81,2017-11-21 06:00,1.02855,1.27308,1.52880,0.00000,4.53758E-05,0.00000,-73.6981,4.57961E-02,-2.77357E-03,86.0250,243.473,-317.214,0.100649,0.500000,1.11911,4.47549,-2.87531,0.00000,0.00000,0.00000,0.00000
82,2017-11-21 12:00,1.02454,1.27421,1.52880,0.00000,6.14627E-05,0.00000,-72.7554,4.93419E-02,3.55497E-02,0.00000,244.355,-317.195,4.40176E-02,0.500000,1.07299,4.49298,-3.01669,0.00000,0.00000,0.00000,0.00000
